date,max_temp,min_temp
2026-07-16,29.1,20.0
2026-07-17,29.3,16.5
2026-07-18,29.0,18.5
2026-07-19,22.6,17.1
2026-07-20,25.0,13.6
2026-07-21,25.2,18.0
2026-07-22,22.1,12.7
